Title,Title_URL,Image,ipclockupoverlay_URL,Title1,Title2,ipcratingstar,ipcratingstarrate,Content,scf24f1c5c0
12. Rorschach,https://www.imdb.com/title/tt19886242/?ref_=sr_t_12,"https://m.media-amazon.com/images/M/MV5BNWZmZWNkYTUtZmNjOC00MzUwLTg4NmQtMzFjZDg1MGU3NmQ0XkEyXkFqcGdeQXVyODA1MTcyNjE@._V1_QL75_UY207_CR6,0,140,207_.jpg",https://www.imdb.com/title/tt19886242/?ref_=sr_i_12,2022,2h 30m,"6.9
 (6.2K)",Rate,The Movie is about Luke Anthony who has a mysterious past and is out on a mission to seek revenge from someone who has destroyed him deeply,"Votes6,239"
13. Aattam,https://www.imdb.com/title/tt27302079/?ref_=sr_t_13,"https://m.media-amazon.com/images/M/MV5BOWU4NTBlNjgtMDhhZi00MDRiLThjZTktYTk1NjgxNTM1M2U3XkEyXkFqcGdeQXVyMTcxNTQyOTM4._V1_QL75_UY207_CR13,0,140,207_.jpg",https://www.imdb.com/title/tt27302079/?ref_=sr_i_13,2023,2h 19m,"8.5
 (1.2K)",Rate,"After a party amongst a theatre group, their sole actress, Anjali is subjected to a crime from one of the men in the group. A meeting is called for. In trying to reach a consensus, stories unravel, suspicions surface and clamour ensues.","Votes1,219"
14. Hridayam,https://www.imdb.com/title/tt11375428/?ref_=sr_t_14,"https://m.media-amazon.com/images/M/MV5BZTgxY2MxZGItY2Q4Ny00NTRlLTg2MWEtYTY3Y2ZiMzAxMGU4XkEyXkFqcGdeQXVyNTA2MzMwMjA@._V1_QL75_UY207_CR8,0,140,207_.jpg",https://www.imdb.com/title/tt11375428/?ref_=sr_i_14,2022,2h 52m,"8.1
 (15K)",Rate,"The emotional journey of Arun, his carefree bachelor days in engineering college, and how he matures through various phases of life.","Votes15,142"
15. Jana Gana Mana,https://www.imdb.com/title/tt13391710/?ref_=sr_t_15,"https://m.media-amazon.com/images/M/MV5BMzU0MjM3YTQtZmNjYi00ODI5LThhYzQtOWMwZjAxMjg2MTRjXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_QL75_UY207_CR1,0,140,207_.jpg",https://www.imdb.com/title/tt13391710/?ref_=sr_i_15,2022,2h 42m,"8.3
 (17K)",Rate,"As a college professor's brutal murder sparks student unrest, a cop launches an investigation while a lawyer seeks justice in the the courtroom.","Votes16,627"
16. Antony,https://www.imdb.com/title/tt27510682/?ref_=sr_t_16,"https://m.media-amazon.com/images/M/MV5BOTUwOGNlYTktY2RiNC00ZWVhLWJhNDctYWQ0ZDU3NzFjZTAwXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_QL75_UX140_CR0,8,140,207_.jpg",https://www.imdb.com/title/tt27510682/?ref_=sr_i_16,2023,2h 27m,"6.7
 (1K)",Rate,"An emotionally charged mass family entertainer that delves into the profound theme of relationships that run deeper than blood. The story revolves around the enigmatic character, Antony and his close-knit group of friends.","Votes1,007"
17. Falimy,https://www.imdb.com/title/tt11410312/?ref_=sr_t_17,"https://m.media-amazon.com/images/M/MV5BZjgyMzRiNjYtZTg1Ny00NmVkLWI5NTEtYzFiMmYwYWU3ZDYxXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_QL75_UY207_CR1,0,140,207_.jpg",https://www.imdb.com/title/tt11410312/?ref_=sr_i_17,2023,2h 5m,"7.3
 (1.9K)",Rate,"A family of self-centered individuals sets out on a journey to fulfill their grandfather's pilgrimage wish, partly to prevent his frequent escapes and partly to find a distraction from their personal problems.","Votes1,867"
18. Drishyam,https://www.imdb.com/title/tt3417422/?ref_=sr_t_18,"https://m.media-amazon.com/images/M/MV5BYmY3MzYwMGUtOWMxYS00OGVhLWFjNmUtYzlkNGVmY2ZkMjA3XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_QL75_UY207_CR9,0,140,207_.jpg",https://www.imdb.com/title/tt3417422/?ref_=sr_i_18,2013,2h 40m,"8.3
 (44K)",Rate,A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.,"Votes43,807"
19. CBI 5: The Brain,https://www.imdb.com/title/tt7311164/?ref_=sr_t_19,"https://m.media-amazon.com/images/M/MV5BZDZhZjA2YjYtYTM0ZS00YmE0LWI3NDItMzg0ZDhiN2ZhZjZhXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_QL75_UY207_CR0,0,140,207_.jpg",https://www.imdb.com/title/tt7311164/?ref_=sr_i_19,2022,2h 42m,"5.6
 (3.6K)",Rate,"A series of murders is happening in the city. With the police failing to solve the case, a team of CBI Officers under CBI officer Sethurama Iyer take up the investigation to resolve the mystery.","Votes3,643"
20. Garudan,https://www.imdb.com/title/tt27411198/?ref_=sr_t_20,"https://m.media-amazon.com/images/M/MV5BMzNjOWQ1MTItODdkMS00MmM2LWI3MDktMWRlOWM1ODdlZWMyXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_QL75_UY207_CR8,0,140,207_.jpg",https://www.imdb.com/title/tt27411198/?ref_=sr_i_20,2023,2h 18m,"7.3
 (2.1K)",Rate,"Harish Madhav, a straightforward cop, and Nishanth, a college professor, get entangled in a crime and one has to fight for his integrity and other has to fight for justice.","Votes2,072"
21. Joji,https://www.imdb.com/title/tt13206926/?ref_=sr_t_21,"https://m.media-amazon.com/images/M/MV5BN2UyMmI4MGEtOTMzMy00NTNjLWFmZWUtMzI1NzQ5NzU0NzBjXkEyXkFqcGdeQXVyMTI1NDAzMzM0._V1_QL75_UY207_CR7,0,140,207_.jpg",https://www.imdb.com/title/tt13206926/?ref_=sr_i_21,2021,1h 53m,"7.8
 (11K)",Rate,"Joji, an engineering dropout and the youngest son of a rich family lives with his aspirations of becoming super wealthy. Driven by greed and blind ambition, he decides to execute his plans following an unexpected event in the family.","Votes10,669"
22. Nayattu,https://www.imdb.com/title/tt11604676/?ref_=sr_t_22,"https://m.media-amazon.com/images/M/MV5BOTdhMWQ5YTYtNTNkMy00NGIzLWE2NjItYjhkYjQwMjljMDU1XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_QL75_UY207_CR1,0,140,207_.jpg",https://www.imdb.com/title/tt11604676/?ref_=sr_i_22,2021,2h 4m,"8.1
 (8.7K)",Rate,"Three police officers who are on a run for life, escaping the outbreak against them due to the unlawful arrest and torture of a civilian. It brings in a few shades of arrogant yet very much human police officers and their helplessness.","Votes8,736"
23. Chaver,https://www.imdb.com/title/tt23183388/?ref_=sr_t_23,"https://m.media-amazon.com/images/M/MV5BM2I1OGU5YjgtMTE0NS00ZDdlLWExNTUtODM0NTkzNjE0YThlXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_QL75_UY207_CR2,0,140,207_.jpg",https://www.imdb.com/title/tt23183388/?ref_=sr_i_23,2023,2h 8m,"6.6
 (2.3K)",Rate,"Political thugs commit an abhorrent crime, taking an innocent bystander on the run. The police chase them, and moral dilemmas arise among them. The bystander's fate remains ambiguous. Escaping justice, they face life-altering consequences.","Votes2,315"
24. Ponniyin Selvan: Part I,https://www.imdb.com/title/tt10701074/?ref_=sr_t_24,"https://m.media-amazon.com/images/M/MV5BZjZlNGRhNTQtZTY1Ni00MjdhLWJhYjEtN2NkMjVmNTAwMjZmXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_QL75_UX140_CR0,2,140,207_.jpg",https://www.imdb.com/title/tt10701074/?ref_=sr_i_24,2022,2h 47m,"7.6
 (36K)",Rate,"Vandiyathevan crosses the Chola land to deliver a message from the Crown Prince Aditha Karikalan, while Kundavai attempts to establish political peace as vassals and petty chieftains plot against the throne.","Votes36,255"
25. Nanpakal Nerathu Mayakkam,https://www.imdb.com/title/tt15477504/?ref_=sr_t_25,"https://m.media-amazon.com/images/M/MV5BMmIwMDExYTQtYWFlMS00Zjk3LThiOTItYjNhZjQ3OGI3ZWU5XkEyXkFqcGdeQXVyMTM1MzAzNzUx._V1_QL75_UY207_CR16,0,140,207_.jpg",https://www.imdb.com/title/tt15477504/?ref_=sr_i_25,2022,1h 45m,"7.5
 (4.7K)",Rate,"James wakes up irritable on a bus, believing he is Sundaram, a man who vanished from a quiet village years prior.","Votes4,701"
26. Anjaam Pathiraa,https://www.imdb.com/title/tt10717738/?ref_=sr_t_26,"https://m.media-amazon.com/images/M/MV5BNjYxMWUwNGUtZmRmMy00MDZlLTgwNDMtODVlOGFjMTBlNGJkXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_QL75_UY207_CR1,0,140,207_.jpg",https://www.imdb.com/title/tt10717738/?ref_=sr_i_26,2020,2h 24m,"7.9
 (8.8K)",Rate,"The police are on the trail of a serial killer, but with the victims being fellow officers, will they be able to catch the killer and solve the case in time?","Votes8,788"
27. Monster,https://www.imdb.com/title/tt15816392/?ref_=sr_t_27,"https://m.media-amazon.com/images/M/MV5BMzc1MjZkOTctNDY3Mi00NTZmLWFjYzktMjkyZjYwZWQ1Nzc3XkEyXkFqcGdeQXVyNTI0NzU5ODc@._V1_QL75_UY207_CR6,0,140,207_.jpg",https://www.imdb.com/title/tt15816392/?ref_=sr_i_27,2022,2h 15m,"4.4
 (3.1K)",Rate,"On their first wedding anniversary, Lucky Singh, an entrepreneur from Punjab walks into the lives of Anil Chandra and Bhamini. Little do they know that this man will change their future","Votes3,061"
28. Kumbalangi Nights,https://www.imdb.com/title/tt8413338/?ref_=sr_t_28,"https://m.media-amazon.com/images/M/MV5BYjYyZTNkZGYtZGJjZC00NmM2LThjNjMtMjYxYTI0NTg1NzViXkEyXkFqcGdeQXVyMzQ5Njc3NzU@._V1_QL75_UX140_CR0,0,140,207_.jpg",https://www.imdb.com/title/tt8413338/?ref_=sr_i_28,2019,2h 15m,"8.5
 (17K)",Rate,"The film revolves around four brothers who share a love-hate relationship with each other. Their relationship progresses to another level when Saji, Boney, and Franky decide to help Bobby stand by his love.","Votes17,303"
29. Jan.E.Man,https://www.imdb.com/title/tt13430782/?ref_=sr_t_29,"https://m.media-amazon.com/images/M/MV5BMGMxZDBhNmEtZjFiNy00NmQ5LTkzZjctMjNhZTk2YzA3MzRkXkEyXkFqcGdeQXVyMzQ5Njc3NzU@._V1_QL75_UY207_CR13,0,140,207_.jpg",https://www.imdb.com/title/tt13430782/?ref_=sr_i_29,2021,2h 27m,"7.8
 (3.2K)",Rate,"Joy Mon plans his own birthday party to overcome sadness and loneliness, but things take an unpleasant turn when the man next to his friend's house become deceased. Can Joy Mon have a pleasant and cheerful birthday celebration ?","Votes3,175"
30. Thondi Muthalum Driksakshiyum,https://www.imdb.com/title/tt5906392/?ref_=sr_t_30,"https://m.media-amazon.com/images/M/MV5BYzUwM2M0NGYtMDVkZS00OWIyLWIzYmYtZGU1MmU4MWM0ZjU2XkEyXkFqcGdeQXVyODE0NjUxNzY@._V1_QL75_UY207_CR4,0,140,207_.jpg",https://www.imdb.com/title/tt5906392/?ref_=sr_i_30,2017,2h 15m,"8.1
 (7.9K)",Rate,"Prasad and Sreeja enter wedlock and move to a new place to continue the rest of their lives. Unfortunate events begin to take place after Prasad, a small-time thief, robs Sreeja's gold chain during a bus journey.","Votes7,939"
31. Churuli,https://www.imdb.com/title/tt12625756/?ref_=sr_t_31,"https://m.media-amazon.com/images/M/MV5BYzIwMTMwZDEtNjdjOC00NzhjLTgzOGYtMzdhOTA5M2U5NTNmXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_QL75_UY207_CR8,0,140,207_.jpg",https://www.imdb.com/title/tt12625756/?ref_=sr_i_31,2021,2h,"7.0
 (5.1K)",Rate,"Two undercover cops who go in search of a fugitive enter another dimension occupied by uncivilized residents who are crass and rude. There, the two men get stuck in an apparent time loop as inexplicable events begin to occur.","Votes5,092"
32. Kumari,https://www.imdb.com/title/tt13531020/?ref_=sr_t_32,"https://m.media-amazon.com/images/M/MV5BYWQxNDdhYTUtZDJhNC00NjgyLTk1NDAtZDFhZTZmODdiN2QyXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_QL75_UY207_CR1,0,140,207_.jpg",https://www.imdb.com/title/tt13531020/?ref_=sr_i_32,2022,2h 17m,"6.4
 (2.1K)",Rate,"The world of Kumari, who is married off far away in Kanhirangat, a cursed land beyond Illymala, in the west. A naive Kumari arrives in the cursed land, where people are ready to sacrifice their lives to preserve tradition and power.","Votes2,116"
33. Malik,https://www.imdb.com/title/tt10919240/?ref_=sr_t_33,"https://m.media-amazon.com/images/M/MV5BNzJlOTYyMTAtZDRmZC00OTllLTgzNTUtYjFiOWYxMDQ1YTJiXkEyXkFqcGdeQXVyMTI1NDAzMzM0._V1_QL75_UY207_CR13,0,140,207_.jpg",https://www.imdb.com/title/tt10919240/?ref_=sr_i_33,2021,2h 42m,"8.0
 (14K)",Rate,"A past ridden with crime, death and pain is recounted to Freddy, a juvenile criminal, who has been assigned to eliminate his estranged uncle Sulaiman, an aging patriarch, while behind bars.","Votes13,826"
34. Ponniyin Selvan: Part Two,https://www.imdb.com/title/tt22444570/?ref_=sr_t_34,"https://m.media-amazon.com/images/M/MV5BNmQ3NGM5ODMtNDhjYS00MDQwLWEwNjItNjZiNjdkMmQ3NjQzXkEyXkFqcGdeQXVyMTY0MDk0NjE3._V1_QL75_UY207_CR4,0,140,207_.jpg",https://www.imdb.com/title/tt22444570/?ref_=sr_i_34,2023,2h 44m,"7.3
 (18K)",Rate,"Arulmozhi Varman continues on his journey to become Rajaraja I, the greatest ruler of the historic Chola empire of south India.","Votes17,929"
35. Premam,https://www.imdb.com/title/tt4679210/?ref_=sr_t_35,"https://m.media-amazon.com/images/M/MV5BMzJhNjMyOGMtYjhiYy00ZTAwLThmZWUtZmE5NzI3OTk4Y2M4XkEyXkFqcGdeQXVyMzQ5Njc3NzU@._V1_QL75_UY207_CR8,0,140,207_.jpg",https://www.imdb.com/title/tt4679210/?ref_=sr_i_35,2015,2h 36m,"8.3
 (23K)",Rate,A young man has three opportunities to find love. Will the third time be the charm?,"Votes23,472"
36. Thanneermathan Dinangal,https://www.imdb.com/title/tt10551608/?ref_=sr_t_36,"https://m.media-amazon.com/images/M/MV5BNzA0NmYwNTEtZWIyYy00YTI5LTljYTUtODcxNmRjYjJmZjBlXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_QL75_UY207_CR1,0,140,207_.jpg",https://www.imdb.com/title/tt10551608/?ref_=sr_i_36,2019,2h 16m,"7.8
 (3.4K)",Rate,A rom-com based in a school where a schoolteacher named Ravi Padmanabhan comes into the lives of Jason and his friends.,"Votes3,377"
37. Ela Veezha Poonchira,https://www.imdb.com/title/tt15516546/?ref_=sr_t_37,"https://m.media-amazon.com/images/M/MV5BN2YyMGU4N2EtODg2Ny00MzQxLWJhM2EtZWQ4MTU3OTY3MTE0XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_QL75_UY207_CR17,0,140,207_.jpg",https://www.imdb.com/title/tt15516546/?ref_=sr_i_37,2022,1h 44m,"7.2
 (2K)",Rate,Follows two police officers at a small wireless police station on the hilltop as they work to resolve the mystery about a woman's body parts that have been scattered all over Elaveezhapoonchira.,"Votes2,044"
38. Bheeshma Parvam,https://www.imdb.com/title/tt14002046/?ref_=sr_t_38,"https://m.media-amazon.com/images/M/MV5BYjJmZDc0N2MtMTU4NC00ZDNkLWJlYzItOTMwZWNlZDg5NDU3XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_QL75_UY207_CR13,0,140,207_.jpg",https://www.imdb.com/title/tt14002046/?ref_=sr_i_38,2022,2h 24m,"7.6
 (13K)",Rate,"Michael helms his ancestral family in Kochi, inspiring fear and respect through his past. When a few younger members of the household find his power over their lives too aggravating, they join hands with foes to clamp down on him.","Votes12,844"
